Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
SLBSL,"2,390.00",8.19,"2,429.90","2,029.60","2,164.90","9,626",,,N/A,N/A
SLCF,9.60,-0.52,9.60,9.55,9.55,"15,160",,,N/A,N/A
SMATA,835.00,-2.34,857.80,827.30,855.00,"3,361",,,N/A,N/A
SMB,"2,728.00",0.04,"2,742.00","2,690.00","2,691.10","1,979",,,N/A,N/A
SMFBS,"1,900.00",-1.04,"1,902.00","1,859.00","1,902.00","2,126",,,N/A,N/A
SMH,"1,009.00",0,"1,065.00",991.30,991.30,"3,045",,,N/A,N/A
SMHL,"1,005.00",-1.28,"1,034.00",977.20,"1,016.00","15,690",,,N/A,N/A
SMJC,645.00,-0.31,676.00,637.70,647.00,"58,640",,,N/A,N/A
SMPDA,939.70,0.07,950.00,921.00,921.00,"4,888",,,N/A,N/A
SNLI,695.00,-0.74,709.90,692.00,700.20,"30,976",,,N/A,N/A
SONA,480.00,-1.03,488.00,477.00,485.00,"54,348",,,N/A,N/A
SPC,574.00,0.35,590.00,570.10,575.00,"42,690",,,N/A,N/A
SPDL,339.90,0.12,344.00,334.00,340.00,"52,204",,,N/A,N/A
SPHL,780.00,-1.27,795.00,766.00,775.00,"2,125",,,N/A,N/A
SPIL,890.00,3.85,893.00,837.00,850.00,"23,202",,,N/A,N/A
SPL,887.00,-3.17,905.00,885.00,905.00,"4,250",,,N/A,N/A
SRLI,423.00,-1.56,429.90,419.90,429.70,"96,970",,,N/A,N/A
SSHL,236.50,-1.46,244.80,232.60,244.80,"154,839",,,N/A,N/A
STC,"5,340.00",-0.28,"5,360.00","5,280.00","5,320.00",679,,,N/A,N/A
SWBBL,852.00,-1.33,865.00,851.00,856.10,"5,207",,,N/A,N/A
SWMF,764.00,-0.78,784.90,755.00,784.90,"3,347",,,N/A,N/A
TAMOR,536.00,-2.19,550.80,530.10,540.00,"24,153",,,N/A,N/A
TPC,565.00,-2.42,574.00,563.00,571.00,"15,219",,,N/A,N/A
TRH,"1,084.00",-1,"1,094.40","1,074.00","1,090.00","2,901",,,N/A,N/A
TSHL,849.00,-1.85,870.00,848.00,861.00,"3,330",,,N/A,N/A
TVCL,527.00,-1.51,541.00,526.30,541.00,"8,239",,,N/A,N/A
UAIL,661.00,-1.2,671.80,658.70,658.70,"13,052",,,N/A,N/A
UHEWA,861.60,4.18,894.00,825.00,825.00,"57,774",,,N/A,N/A
ULBSL,"3,700.00",-1.86,"3,997.00","3,680.00","3,694.60","4,811",,,N/A,N/A
ULHC,533.00,-0.19,544.00,524.40,539.90,"12,765",,,N/A,N/A
UMHL,439.20,1.2,445.00,430.20,434.00,"391,990",,,N/A,N/A
UMRH,646.00,-2.12,670.00,642.00,668.00,"49,029",,,N/A,N/A
UNHPL,325.90,-1.24,333.50,323.50,323.50,"41,564",,,N/A,N/A
UNL,"45,152.00",0.31,"46,590.00","45,152.00","45,911.20",120,,,N/A,N/A
UNLB,"2,348.00",-2.17,"2,395.00","2,321.10","2,380.00","3,117",,,N/A,N/A
UPCL,302.90,-1.66,308.00,300.00,305.00,"160,584",,,N/A,N/A
UPPER,204.00,-1.31,207.90,203.00,206.00,"173,071",,,N/A,N/A
USHEC,630.00,-1.52,650.00,612.00,630.00,"23,988",,,N/A,N/A
USHL,751.00,-2.34,774.90,751.00,770.00,"3,543",,,N/A,N/A
USLB,"1,692.50",-3.56,"1,759.40","1,692.50","1,727.10","7,383",,,N/A,N/A
VLBS,855.00,-0.48,876.20,835.10,850.00,"4,711",,,N/A,N/A
VLUCL,713.90,-0.85,730.00,705.00,721.00,"27,334",,,N/A,N/A
WNLB,"3,200.00",-6.63,"3,358.70","3,130.00","3,358.70","1,359",,,N/A,N/A
